
Generated 5 folds for cross-validation on 30577 labeled nodes.
Using device: mps

============================================================
⏭️  Skipping Stage 1: Optuna Search.
Loading best architecture parameters from: ./ESKAPEE_model/best_arch_params.yaml
============================================================

============================================================
💾 Stage 2: Training Final Model on ALL Labeled Data
============================================================
Gradient magnitudes plot saved for epoch 0 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_0.png
Final training... Epoch 10/3000, Loss: 0.8580, Val Loss: 0.8362, LR: 0.005
Final training... Epoch 20/3000, Loss: 0.8368, Val Loss: 0.8136, LR: 0.005
Final training... Epoch 30/3000, Loss: 0.8180, Val Loss: 0.7992, LR: 0.005
Final training... Epoch 40/3000, Loss: 0.7972, Val Loss: 0.7832, LR: 0.005
Final training... Epoch 50/3000, Loss: 0.7808, Val Loss: 0.7649, LR: 0.005
Final training... Epoch 60/3000, Loss: 0.7599, Val Loss: 0.7422, LR: 0.005
Final training... Epoch 70/3000, Loss: 0.7377, Val Loss: 0.7266, LR: 0.005
Final training... Epoch 80/3000, Loss: 0.7158, Val Loss: 0.6981, LR: 0.005
Final training... Epoch 90/3000, Loss: 0.6977, Val Loss: 0.6800, LR: 0.005
Final training... Epoch 100/3000, Loss: 0.7066, Val Loss: 0.6700, LR: 0.005
Gradient magnitudes plot saved for epoch 100 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_100.png
Final training... Epoch 110/3000, Loss: 0.6744, Val Loss: 0.6522, LR: 0.005
Final training... Epoch 120/3000, Loss: 0.6732, Val Loss: 0.6661, LR: 0.005
Final training... Epoch 130/3000, Loss: 0.6515, Val Loss: 0.6366, LR: 0.005
Final training... Epoch 140/3000, Loss: 0.6457, Val Loss: 0.6100, LR: 0.005
Final training... Epoch 150/3000, Loss: 0.6297, Val Loss: 0.5915, LR: 0.005
Final training... Epoch 160/3000, Loss: 0.6396, Val Loss: 0.6153, LR: 0.005
Final training... Epoch 170/3000, Loss: 0.6079, Val Loss: 0.5891, LR: 0.005
Final training... Epoch 180/3000, Loss: 0.5998, Val Loss: 0.5667, LR: 0.005
Final training... Epoch 190/3000, Loss: 0.5913, Val Loss: 0.5547, LR: 0.005
Final training... Epoch 200/3000, Loss: 0.5748, Val Loss: 0.5525, LR: 0.005
Gradient magnitudes plot saved for epoch 200 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_200.png
Final training... Epoch 210/3000, Loss: 0.5678, Val Loss: 0.5627, LR: 0.005
Final training... Epoch 220/3000, Loss: 0.6072, Val Loss: 0.5827, LR: 0.005
Final training... Epoch 230/3000, Loss: 0.5741, Val Loss: 0.5532, LR: 0.005
Final training... Epoch 240/3000, Loss: 0.5653, Val Loss: 0.5426, LR: 0.005
Final training... Epoch 250/3000, Loss: 0.5574, Val Loss: 0.5252, LR: 0.005
Final training... Epoch 260/3000, Loss: 0.5518, Val Loss: 0.5258, LR: 0.005
Final training... Epoch 270/3000, Loss: 0.5466, Val Loss: 0.5228, LR: 0.005
Final training... Epoch 280/3000, Loss: 0.5406, Val Loss: 0.5100, LR: 0.005
Final training... Epoch 290/3000, Loss: 0.5542, Val Loss: 0.5120, LR: 0.005
Final training... Epoch 300/3000, Loss: 0.5607, Val Loss: 0.5117, LR: 0.005
Gradient magnitudes plot saved for epoch 300 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_300.png
Final training... Epoch 310/3000, Loss: 0.5373, Val Loss: 0.5037, LR: 0.005
Final training... Epoch 320/3000, Loss: 0.5572, Val Loss: 0.5370, LR: 0.005
Final training... Epoch 330/3000, Loss: 0.5289, Val Loss: 0.5072, LR: 0.005
Final training... Epoch 340/3000, Loss: 0.5121, Val Loss: 0.4907, LR: 0.005
Final training... Epoch 350/3000, Loss: 0.5146, Val Loss: 0.4838, LR: 0.005
Final training... Epoch 360/3000, Loss: 0.5094, Val Loss: 0.4800, LR: 0.005
Final training... Epoch 370/3000, Loss: 0.5148, Val Loss: 0.4886, LR: 0.005
Final training... Epoch 380/3000, Loss: 0.5082, Val Loss: 0.4814, LR: 0.005
Final training... Epoch 390/3000, Loss: 0.5010, Val Loss: 0.4716, LR: 0.005
Final training... Epoch 400/3000, Loss: 0.5361, Val Loss: 0.5108, LR: 0.005
Gradient magnitudes plot saved for epoch 400 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_400.png
Final training... Epoch 410/3000, Loss: 0.4934, Val Loss: 0.4720, LR: 0.005
Final training... Epoch 420/3000, Loss: 0.4908, Val Loss: 0.4597, LR: 0.005
Final training... Epoch 430/3000, Loss: 0.4973, Val Loss: 0.4663, LR: 0.005
Final training... Epoch 440/3000, Loss: 0.5004, Val Loss: 0.4511, LR: 0.005
Final training... Epoch 450/3000, Loss: 0.4845, Val Loss: 0.4504, LR: 0.005
Final training... Epoch 460/3000, Loss: 0.4719, Val Loss: 0.4423, LR: 0.005
